Date,Price
04.12.2021,"83,2406"
07.12.2021,"83,1138"
08.12.2021,"83,7114"
09.12.2021,"83,3640"
10.12.2021,"83,3444"
11.12.2021,"83,1158"
14.12.2021,"82,8660"
15.12.2021,"82,8299"
16.12.2021,"83,2375"
17.12.2021,"83,1571"
18.12.2021,"83,5026"
21.12.2021,"83,6187"
22.12.2021,"83,3213"
23.12.2021,"83,1541"
24.12.2021,"83,1223"
25.12.2021,"82,9300"
28.12.2021,"82,9363"
29.12.2021,"83,2194"
