Date,Price
04.12.2021,"73,7426"
07.12.2021,"73,6694"
08.12.2021,"74,1399"
09.12.2021,"73,8453"
10.12.2021,"73,5998"
11.12.2021,"73,6059"
14.12.2021,"73,4107"
15.12.2021,"73,4698"
16.12.2021,"73,8510"
17.12.2021,"73,5708"
18.12.2021,"73,7330"
21.12.2021,"74,2947"
22.12.2021,"73,8206"
23.12.2021,"73,7901"
24.12.2021,"73,3583"
25.12.2021,"73,1886"
28.12.2021,"73,2329"
29.12.2021,"73,4959"
