Date,Price
04.12.2021,"27,0331"
07.12.2021,"26,8797"
08.12.2021,"27,1202"
09.12.2021,"27,1148"
10.12.2021,"27,1508"
11.12.2021,"27,2173"
14.12.2021,"27,2914"
15.12.2021,"27,2012"
16.12.2021,"27,2049"
17.12.2021,"27,0775"
18.12.2021,"27,0581"
21.12.2021,"27,2441"
22.12.2021,"27,0628"
23.12.2021,"27,0725"
24.12.2021,"26,8564"
25.12.2021,"26,8887"
28.12.2021,"26,8523"
29.12.2021,"26,9711"
